# n=10, modulus d=2, coefficients d=2
# Frobenius number = 131, Frobenius root = 32, Apery max = 164
coefficients = [33, 34, 35, 36, 37, 38, 39, 40, 41, 42]


Residues, Apery set, Zeros
0, 0, 0
1, 34, 1
2, 35, 2
3, 36, 3
4, 37, 4
5, 38, 5
6, 39, 6
7, 40, 7
8, 41, 8
9, 42, 9
10, 76, 43
11, 77, 44
12, 78, 45
13, 79, 46
14, 80, 47
15, 81, 48
16, 82, 49
17, 83, 50
18, 84, 51
19, 118, 85
20, 119, 86
21, 120, 87
22, 121, 88
23, 122, 89
24, 123, 90
25, 124, 91
26, 125, 92
27, 126, 93
28, 160, 127
29, 161, 128
30, 162, 129
31, 163, 130
32, 164, 131
